EYFP	mKate
4.25	15.39
99.450005	40.5
4.25	13.77
747.150024	549.98999
2060.400146	2908.709961
31.450001	31.59
153.850006	41.310001
650.25	801.900024
2815.200195	858.599976
847.450012	1041.660034
20.400002	23.49
26.35	25.110001
38.25	7.29
175.100006	252.720001
58.650002	21.870001
11.900001	18.629999
1149.200073	319.140015
3.4	3.24
13518.40039	8562.509766
5584.5	6197.310059
129.199997	11.34
376.550018	422.820007
931.600037	1289.52002
16780.70117	43934.39844
537.200012	839.159973
867	622.890015
1878.5	8043.299805
12671.80078	17389.08008
24.650002	13.77
17	11.34
15.3	0.81
51	16.200001
43.350002	12.15
3202.800049	1419.930054
784.550049	356.399994
409.700012	524.070007
34.850002	19.440001
45.050003	24.299999
6173.550293	16088.21973
11.900001	30.780001
130.900009	144.990005
181.900009	84.239998
2493.050049	1418.310059
1552.950073	1931.040039
12449.10059	14976.08984
20799.5	41867.28125
17.85	4.86
19368.09961	16673.04102
1195.099976	1820.069946
10946.30078	9756.450195
1792.650024	4122.899902
23.800001	32.400002
38.25	29.16
3233.400146	4207.950195
1919.300049	9100.349609
1716.150024	1201.22998
1594.600098	1225.530029
7.65	33.209999
2827.950195	2150.550049
4791.450195	9553.139648
8556.100586	7226.010254
21.25	46.98
10.200001	34.830002
4645.25	6791.040039
3626.100098	4459.049805
86.700005	24.299999
23.800001	43.740002
3681.350098	2474.550049
284.75	721.710022
14412.60059	25821.17969
28.900002	4.05
888.25	2048.48999
7030.350098	12978.62988
248.200012	243
31.450001	28.35
10866.40039	34668.80859
1504.5	2441.340088
3194.300049	4766.040039
22.950001	27.540001
11.900001	25.110001
104.550003	75.330002
6.8	19.440001
7723.950195	18951.57031
664.700012	1808.72998
2.55	12.96
12.75	17.82
809.200012	238.139999
17.85	4.86
2329	2715.929932
8714.200195	10497.59961
5172.25	8904.330078
6.8	1.62
135.150009	121.5
501.5	251.100006
6079.200195	7026.75
28.050001	40.5
11.900001	28.35
243.100006	71.279999
2856	1569.780029
20.400002	26.73
42.5	40.5
24484.25	8138.879883
17.85	38.07
13.6	7.29
19.550001	20.25
81114.64844	53653.58984
9553.150391	19597.14063
1951.600098	1154.25
348.5	594.539978
1097.349976	1361.609985
1746.75	4284.899902
46407.45313	54872.64063
3219.800049	8343
2324.75	4751.459961
253.300003	255.149994
38.25	40.5
6688.650391	6882.569824
19965.65039	20770.01953
3540.25	2643.030029
23.800001	15.39
3.4	4.86
12.75	11.34
2783.75	1989.359985
2431.850098	1692.900024
574.600037	2.43
346.800018	210.600006
771.800049	1230.390015
229.5	187.110001
3.4	45.360001
4394.5	3207.600098
8097.100098	21966.39063
17	28.35
6.8	25.92
342.550018	137.699997
4660.550293	1185.839966
0.85	3.24
89.25	27.540001
29.75	3.24
17	29.969999
11.900001	44.549999
1059.950073	957.419983
178.5	115.830002
39.100002	63.18
7331.25	9533.700195
4.25	21.059999
5.1	3.24
43.350002	44.549999
791.350037	762.210022
48.450001	25.110001
22.1	25.110001
4.25	20.25
13.6	29.969999
59.5	42.93
61.200001	88.290001
1059.950073	847.26001
21.25	29.16
28.050001	4.86
24.650002	17.82
1434.800049	2056.590088
136.850006	278.640015
1100.75	412.290009
1237.599976	2330.370117
22500.35156	18655.91992
266.899994	221.940002
28.050001	19.440001
36.549999	17.82
19.550001	11.34
16483.20117	22669.4707
2083.350098	3478.139893
11.05	18.629999
19.550001	19.440001
7793.650391	16664.13086
13.6	1.62
3170.5	3196.26001
11154.55078	9511.830078
6.8	16.200001
14.450001	12.15
294.100006	55.889999
287.300018	172.529999
7316.800293	9308.520508
2516.850098	2229.120117
2893.400146	1965.060059
26.35	34.830002
69.700005	8.1
5.95	19.440001
34.850002	20.25
7836.150391	9532.080078
6.8	36.450001
10.200001	37.259998
5497.800293	3383.370117
30.6	45.360001
15.3	12.15
289.850006	278.640015
991.100037	948.51001
27765.25	24240.86914
8273.049805	8387.549805
759.050049	305.369995
26.35	46.98
593.299988	1172.880005
272.850006	226.800003
7.65	3.24
141.100006	146.610001
30.6	17.01
7789.400391	3496.77002
53.550003	25.110001
93.5	114.209999
1229.950073	1185.839966
389.300018	111.779999
3807.150146	3315.330078
22.1	14.58
133.449997	58.32
2.55	29.969999
35.700001	25.110001
5279.350098	9408.959961
3677.950195	2701.350098
1887	1845.180054
10.200001	13.77
3.4	10.53
28.050001	7.29
501.5	776.789978
0.85	11.34
18.700001	15.39
26.35	40.5
39.950001	14.58
48.450001	24.299999
511.700012	111.779999
277.950012	355.589996
684.25	1232.01001
2667.300049	3838.590088
233.75	96.389999
1362.550049	938.789978
27.200001	21.059999
28.900002	30.780001
1311.550049	436.589996
0.85	2.43
68263.5	64434.69141
1111.800049	681.210022
4.25	13.77
16.15	10.53
429.25	108.540001
53.550003	14.58
20.400002	8.1
4658.850098	7405.02002
24905	49149.98828
34.850002	46.98
230.350006	31.59
88.400002	32.400002
385.050018	305.369995
15.3	4.86
838.950012	1398.869995
51.850002	31.59
60.350002	28.35
191.25	93.150002
25.5	17.01
60.350002	11.34
2791.400146	4594.319824
6.8	2.43
145.350006	19.440001
37.400002	46.170002
75.650002	72.090004
17	14.58
228.650009	133.649994
15.3	34.830002
28.050001	23.49
1734.850098	1568.969971
313.649994	299.700012
10268	30253.5
25.5	5.67
796.450012	1755.27002
14240.05078	18882.7207
454.75	618.840027
11961.2002	24968.25
2168.350098	2602.530029
34	12.96
28.050001	34.830002
25.5	14.58
36.549999	4.05
2946.950195	213.029999
25.5	2.43
27.200001	17.01
11.900001	11.34
2.55	10.53
20.400002	7.29
2457.350098	2877.929932
0.85	17.01
12616.55078	19410.0293
14.450001	1.62
10352.15039	31246.56055
1218.050049	1271.699951
14.450001	5.67
2757.400146	3876.659912
27.200001	4.86
5468.050293	5157.27002
555.900024	384.75
1379.550049	1342.97998
136	30.780001
963.900024	727.380005
746.300049	798.659973
22.950001	8.91
989.400024	1574.640015
17.85	16.200001
7.65	17.82
0.85	28.35
14686.30078	14178.24023
346.800018	342.630005
18.700001	23.49
164.900009	87.480003
880.600037	1242.540039
33.150002	17.82
2098.650146	1699.380005
56.100002	42.93
2.55	52.650002
9484.299805	5448.060059
35.700001	44.549999
55.25	36.450001
65.450005	54.27
32.299999	36.450001
41.650002	55.889999
1098.200073	460.079987
1082.050049	568.619995
11403.60059	23111.73047
104.550003	21.870001
4.25	21.870001
6083.450195	4780.620117
64.599998	29.16
1897.200073	3762.449951
11.900001	1.62
14362.4502	15100.83008
4493.100098	4808.970215
4682.649902	3766.5
1008.100037	1547.910034
2.55	2.43
11.900001	45.360001
31869.90039	63478.08203
5839.5	11744.19043
0.85	27.540001
5.1	0.81
14325.05078	13425.75
8.5	13.77
808.350037	929.880005
5359.25	8395.650391
33.150002	16.200001
38.25	29.16
31.450001	8.91
509.150024	434.970001
37.400002	23.49
4.25	27.540001
486.200012	406.619995
322.149994	49.41
33.150002	6.48
340	294.839996
1362.550049	753.299988
3644.800049	7191.990234
211.650009	181.440002
4.25	5.67
39.950001	14.58
40.800003	15.39
19.550001	8.91
999.600037	1719.630005
9.35	11.34
9.35	13.77
324.700012	540.27002
4306.100098	7540.290039
708.050049	964.710022
644.299988	116.639999
8.5	17.82
11.05	34.02
4563.649902	2958.929932
