EYFP	mKate
27863	4667.220215
80191.55469	25444.5293
153.850006	31.59
17	21.059999
52.700001	37.259998
6975.950195	1421.550049
311.950012	13.77
260.100006	23.49
17	17.82
51	5.67
34.850002	14.58
39.950001	42.93
419.900024	45.360001
26.35	17.01
1274.150024	386.369995
39.100002	18.629999
26.35	10.53
8.5	12.96
6120	1019.789978
1638.800049	67.230003
46447.40234	18859.23047
192.100006	13.77
26449.45117	6668.72998
13.6	4.05
15.3	8.91
260.100006	15.39
35.700001	8.1
17021.25	6523.740234
177.650009	34.830002
128.350006	29.969999
663	45.360001
5112.75	1312.199951
1129.650024	140.940002
44.200001	23.49
22.950001	30.780001
23.800001	11.34
21.25	1.62
4.25	0.81
4576.399902	1039.22998
1958.400024	475.470001
15.3	9.72
41.650002	12.96
73.099998	34.830002
34.850002	24.299999
44168.55078	21016.25977
107.100006	12.15
884	50.220001
11518.35059	4220.910156
14.450001	4.86
43.350002	29.16
52.700001	10.53
43931.40234	7080.209961
1845.350098	114.209999
2259.300049	205.740005
309.399994	33.209999
5140.800293	298.079987
29784.85156	9378.179688
6403.050293	1476.630005
14.450001	8.91
42232.25	8054.640137
2.55	12.96
21069.80078	5502.330078
701.25	35.639999
55894.30078	18807.39063
14540.9502	5465.879883
152391.4063	55751.48828
113922.1016	31749.57031
30011.80078	6261.299805
154.699997	12.15
2396.150146	107.730003
432.650024	5.67
77010.85156	26504.00977
10593.55078	3124.97998
45202.15234	15836.30957
62628.85156	25574.13086
19521.95117	7604.279785
97826.5	27874.5293
25120.90039	3076.380127
9448.600586	1696.140015
2465.850098	514.349976
98359.45313	38760.12109
7040.550293	995.48999
8625.799805	235.710007
503.200012	11.34
6703.950195	1189.890015
300.899994	23.49
28.900002	17.01
59429.45313	15238.53027
2182.800049	316.709991
19.550001	14.58
23.800001	14.58
19458.20117	6461.370117
8.5	6.48
90.950005	6.48
3896.400146	635.849976
217.600006	4.86
10044.4502	1655.640015
72.25	12.96
21736.20117	7550.010254
119974.1016	46857.69141
58994.25	3952.800049
14.450001	18.629999
452.200012	31.59
7282.800293	1511.459961
14.450001	23.49
142.800003	2.43
607.75	39.689999
7733.300293	2371.679932
42.5	14.58
923.100037	83.43
7714.600098	1606.22998
55635.05078	17125.83008
45.900002	30.780001
39.100002	34.830002
45.900002	19.440001
50.150002	39.689999
837.25	107.730003
41.650002	27.540001
34	34.830002
122.400002	4.86
19.550001	18.629999
21834.80078	5542.02002
336.600006	18.629999
12.75	21.059999
1314.100098	37.259998
23.800001	6.48
178512.75	60366.05859
7724.800293	1777.949951
60318.55078	24796.5293
437.75	7.29
1643.050049	150.660004
15372.25	4563.540039
59232.25	32463.99023
3110.150146	575.099976
797.300049	30.780001
65008.85156	15961.04981
6705.650391	734.669983
56737.5	24870.24023
2533	162
53274.60156	10836.99023
86664.30469	37179.80859
52133.90234	14746.86035
8222.900391	2161.889893
34	25.110001
28.900002	11.34
247.350006	32.400002
129832.4063	65772
5785.100098	1357.560059
13.6	18.629999
113683.25	48395.07031
6345.25	1022.220032
82835.05469	36691.37891
75995.95313	17962.56055
54706.85156	18104.31055
37000.5	12635.19043
2499	603.450012
561	34.830002
5594.700195	1408.589966
72.25	11.34
158.100006	3.24
39191.80078	14388.83984
45.900002	29.969999
24287.90039	5120.819824
16765.40039	4567.589844
30.6	19.440001
85.850006	57.509998
23634.25	5287.680176
45.900002	15.39
85697.85156	27551.33984
1753.550049	12.15
250.75	36.450001
39.950001	33.209999
34	4.86
591.600037	4.86
41.650002	29.969999
5108.5	1458.810059
5.1	21.870001
72.25	29.16
27014.70117	4111.560059
49020.35156	21129.66016
6.8	3.24
18762.05078	5262.569824
11.05	17.82
15.3	17.01
350.200012	17.82
42.5	27.540001
43874.45313	8618.400391
440.300018	17.82
22.1	35.639999
111389.9531	36267.75
532.100037	17.82
89116.55469	23212.98047
126803	44959.85938
28521.75	10451.42969
956.25	271.350006
24.650002	20.25
8.5	4.05
23901.15039	9384.660156
30919.60156	5273.910156
30977.40039	5358.149902
124.950005	28.35
277.950012	22.68
17	5.67
713.150024	37.259998
13.6	14.58
433.5	12.15
7491.900391	1023.840027
76249.25	26341.19922
5507.150391	681.210022
8662.350586	1440.180054
44172.80078	14126.40039
2611.200195	137.699997
46806.95313	11000.61035
2541.5	617.220032
1168.75	188.729996
57837.40234	19262.60938
14.450001	14.58
30.6	24.299999
20.400002	16.200001
4352	1244.160034
29.75	33.209999
44018.10156	11109.95996
93.5	4.05
12.75	20.25
34.850002	42.93
26.35	34.02
792.200012	50.220001
16.15	0.81
11.900001	3.24
15.3	17.82
253.300003	5.67
33.150002	4.05
171.700012	20.25
123.25	19.440001
41.650002	35.639999
46276.55078	11271.15039
1.7	23.49
117687.6016	67142.52344
48984.65234	15952.9502
4996.300293	1012.5
5.95	7.29
61283.30078	14526.54004
41.650002	4.05
95540	33474.05859
1408.450073	81.809998
17456.45117	3375.27002
11.05	4.05
15767.5	4989.600098
13.6	12.96
262.649994	26.73
55.25	1.62
39.950001	37.259998
20.400002	23.49
68.849998	21.870001
11765.7002	2816.370117
24291.30078	5077.890137
66.300003	4.05
3712.800049	835.109985
4.25	16.200001
23.800001	23.49
36.549999	31.59
62.900002	22.68
85	10.53
447.100006	26.73
4.25	23.49
41.650002	42.93
496.400024	29.969999
13255.75	2871.449951
221.850006	31.59
184.450012	43.740002
17.85	21.870001
16.15	37.259998
26.35	47.790001
37.400002	37.259998
2703.850098	383.130005
1746.75	171.720001
22774.90039	7660.97998
234.600006	44.549999
194.650009	38.07
10.200001	3.24
53929.95313	16643.88086
2479.449951	300.51001
28.050001	25.110001
780.300049	28.35
862.75	123.120003
33198.44922	6200.549805
18.700001	10.53
54105.05078	27395.00977
30900.05078	5811.75
210.800003	22.68
36809.25	11565.99023
740.350037	33.209999
45185.15234	7434.990234
2045.950073	81
5125.5	707.940002
8.5	21.059999
662.150024	56.700001
55516.90234	22474.25977
1276.700073	38.07
583.950012	24.299999
932.450012	41.310001
64643.35156	13008.59961
135.150009	15.39
10.200001	6.48
34993.65234	10414.16992
36.549999	9.72
87.550003	6.48
12.75	4.86
35420.35156	10246.5
1104.150024	150.660004
11.900001	4.86
35.700001	26.73
32.299999	29.16
8125.150391	3468.419922
3183.25	247.050003
39162.90234	13558.58984
13.6	12.15
19.550001	16.200001
80.75	25.92
123.25	12.96
186.150009	20.25
31733.05078	8044.919922
29.75	23.49
13.6	32.400002
50242.65234	20427.39063
85.850006	11.34
897.600037	117.449997
6018	1948.859985
578	119.07
61608	27138.24023
315.350006	8.91
149255.75	80255.60938
42539.95313	16792.91992
22.1	4.86
14259.60059	3753.540039
12302.90039	3034.26001
147.050003	14.58
19414	6924.689941
1280.099976	23.49
119918	63477.26953
52459.45313	9308.520508
82488.25	35750.96875
48712.65234	23570.18945
69020	15771.50977
48067.5	12207.50977
12.75	2.43
39.100002	29.16
95.200005	25.110001
35629.44922	9139.230469
138419.9531	41128.55859
21.25	12.96
14.450001	21.870001
199.75	13.77
93936.05469	40410.08984
17587.34961	1722.869995
2.55	10.53
56815.70313	15406.2002
10.200001	7.29
24.650002	32.400002
31.450001	21.059999
46601.25	18528.75
5397.5	1092.690063
1.7	10.53
12.75	19.440001
19.550001	37.259998
13096.80078	1878.390015
14434.7002	3572.909912
4.25	11.34
13.6	21.870001
240.550003	17.82
16.15	18.629999
65.450005	17.01
18.700001	18.629999
54799.5	17557.56055
1269.050049	247.050003
8.5	0.81
690.200012	4.86
31127.85156	8128.350098
19228.70117	1760.940063
35418.65234	8445.870117
19.550001	21.870001
28.050001	22.68
412.25	42.93
88.400002	11.34
92.650002	16.200001
15441.9502	2162.699951
7714.600098	1797.390015
674.900024	50.220001
14.450001	12.15
22497.80078	5602.77002
35.700001	29.16
60077.15234	13437.08984
23.800001	29.16
33.150002	15.39
7049.900391	1064.339966
57636.80078	20295.35938
1456.900024	39.689999
50.150002	7.29
6.8	12.96
24510.60156	5672.430176
118299.6016	40805.37109
5.95	8.91
19411.45117	5768.010254
111.350006	30.780001
1.7	0.81
161854.4531	76845.50781
15.3	9.72
275.399994	12.96
9207.200195	2454.300049
16.15	41.310001
60950.95313	15260.40039
17	29.16
51.850002	36.450001
126.650002	28.35
23.800001	17.82
73573.45313	12525.83984
1100.75	173.339996
1241.849976	42.93
322.149994	2.43
11211.5	3629.610107
11.900001	0.81
45.050003	21.059999
89.25	13.77
48.450001	42.119999
51	85.050003
28.900002	15.39
92.650002	16.200001
14.450001	10.53
19175.15039	3747.870117
1559.75	298.890015
43459.65234	15360.03027
7852.300293	2568.51001
7636.400391	2173.22998
23484.65039	10363.13965
17.85	42.119999
5.1	23.49
8.5	5.67
17606.05078	2816.370117
75702.70313	19197.81055
55.25	17.01
47.600002	21.059999
77363.60156	34669.62109
24.650002	29.969999
3048.950195	68.849998
2434.400146	399.329987
103654.9531	10749.50977
6508.450195	924.210022
113241.25	49526.64063
31867.35156	4120.470215
41907.55078	11237.94043
13250.65039	2225.880127
30.6	8.1
176596	90485.10156
27766.95117	7102.890137
107513.9531	27181.16992
13.6	7.29
73.099998	23.49
1334.5	75.330002
5.1	17.01
1817.300049	418.769989
2085.050049	199.259995
256.700012	17.82
15.3	22.68
26.35	24.299999
38.25	21.059999
812.600037	74.519997
26953.5	12896.82031
20.400002	11.34
16.15	21.059999
25.5	31.59
1816.450073	51.029999
14.450001	12.15
1103.300049	110.160004
158.949997	12.96
35.700001	22.68
13933.2002	4246.830078
15.3	57.509998
67434.75	11574.90039
0.85	2.43
36.549999	24.299999
34.850002	34.830002
254.150009	29.969999
45.900002	19.440001
56.950001	20.25
31.450001	5.67
28.050001	5.67
33370.15234	7212.240234
29077.65039	5763.959961
17.85	6.48
38605.30078	9272.070312
1504.5	102.870003
2919.75	827.01001
68300.89844	28066.5
43172.35156	10713.05957
5340.550293	1278.180054
33.150002	23.49
9200.400391	2801.790039
14.450001	20.25
7291.300293	1931.849976
148.75	9.72
11350.90039	852.119995
73828.45313	28426.94922
1110.950073	196.830002
54858.15234	22549.58984
24899.05078	4881.870117
6272.150391	1089.449951
764.150024	34.830002
16818.95117	4676.939941
1676.200073	289.980011
14565.60059	2622.780029
17130.05078	4420.169922
36.549999	6.48
66.300003	142.559998
37.400002	21.059999
470.050018	34.02
23.800001	4.05
17	10.53
2491.350098	66.419998
21115.70117	4693.140137
6847.600098	2417.850098
10034.25	2349
68.849998	27.540001
17	12.96
113.900002	22.68
32.299999	11.34
26141.75	9086.580078
80.75	16.200001
31.450001	7.29
32.299999	23.49
17340	3823.199951
28.050001	2.43
92.650002	15.39
11.900001	6.48
60.350002	21.059999
6006.100098	1188.27002
140895.1563	53964.62891
202551.6094	70521.03125
3482.450195	554.849976
385.050018	11.34
44.200001	9.72
86.700005	2.43
31039.45117	3579.389893
19.550001	29.16
131.75	3.24
341.700012	55.080002
19591.65039	5410.799805
36652.85156	25055.73047
